상호,건물,카테고리,주소,네이버검색(클릭),전화번호(여기채우기)
자연산산꼼장어,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9E%90%EC%97%B0%EC%82%B0%EC%82%B0%EA%BC%BC%EC%9E%A5%EC%96%B4,
전철우제주해장문정,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%A0%84%EC%B2%A0%EC%9A%B0%EC%A0%9C%EC%A3%BC%ED%95%B4%EC%9E%A5%EB%AC%B8%EC%A0%95,
청킹맨션,엠스테이트,중국집,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%B2%AD%ED%82%B9%EB%A7%A8%EC%85%98,
큰손,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%81%B0%EC%86%90,
탕반,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%83%95%EB%B0%98,
파네파네,엠스테이트,경양식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%8C%8C%EB%84%A4%ED%8C%8C%EB%84%A4,
한솥도시락문정엠스테이트점,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%95%9C%EC%86%A5%EB%8F%84%EC%8B%9C%EB%9D%BD%EB%AC%B8%EC%A0%95%EC%97%A0%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%8A%B8%EC%A0%90,
한창회관,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%95%9C%EC%B0%BD%ED%9A%8C%EA%B4%80,
함흥면옥문정지점,엠스테이트,냉면/밀면,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%95%A8%ED%9D%A5%EB%A9%B4%EC%98%A5%EB%AC%B8%EC%A0%95%EC%A7%80%EC%A0%90,
함흥본가갈비탕갈비찜,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%95%A8%ED%9D%A5%EB%B3%B8%EA%B0%80%EA%B0%88%EB%B9%84%ED%83%95%EA%B0%88%EB%B9%84%EC%B0%9C,
해남짬뽕,엠스테이트,중국집,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%95%B4%EB%82%A8%EC%A7%AC%EB%BD%95,
홍쉐프&화덕,엠스테이트,피자,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%99%8D%EC%89%90%ED%94%84%26%ED%99%94%EB%8D%95,
홍심당,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%99%8D%EC%8B%AC%EB%8B%B9,
갈맷길물총칼국수,테라타워,국수/칼국수,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B0%88%EB%A7%B7%EA%B8%B8%EB%AC%BC%EC%B4%9D%EC%B9%BC%EA%B5%AD%EC%88%98,
겐코쇼쿠도,테라타워,일식 회/초밥,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B2%90%EC%BD%94%EC%87%BC%EC%BF%A0%EB%8F%84,
계란집,테라타워,경양식,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B3%84%EB%9E%80%EC%A7%91,
국제보리밥,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B5%AD%EC%A0%9C%EB%B3%B4%EB%A6%AC%EB%B0%A5,
깡우동문정역점,테라타워,일식 면 요리,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B9%A1%EC%9A%B0%EB%8F%99%EB%AC%B8%EC%A0%95%EC%97%AD%EC%A0%90,
달팽이김밥,테라타워,김밥/만두/분식,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%8B%AC%ED%8C%BD%EC%9D%B4%EA%B9%80%EB%B0%A5,
